feature,feature importance
Bot Center_0,0.0010876418238197313
Bot Center_1,0.003978386889748397
Bot Center_2,0.02516603260591628
Bot Left Corner_0,0.0013514423874439907
Bot Left Corner_1,0.044278149251707505
Bot Left Corner_2,0.03088460486369956
Bot Right Corner_0,1.0123326352030269e-05
Bot Right Corner_1,0.04173214011326614
Bot Right Corner_2,0.033851024897555274
More in Center_1,0.08588286951375754
More in Center_2,0.19732311068986164
More in Center_tie,0.03240934673479733
More in Leftmost_1,0.11816390606961912
More in Leftmost_2,0.06824436549051872
More in Leftmost_tie,0.007481037034830817
More in Rightmost_1,0.16320455829478037
More in Rightmost_2,0.13311777670377403
More in Rightmost_tie,0.011833483308551645
